cellname;cell_class
131_A10;LDM_3h
131_A11;LDM_3h
131_A13;LDM_12h
131_A14;LDM_12h
131_A15;LDM_12h
131_A17;LDM_12h
131_A18;LDM_12h
131_A1;ctrl
131_A22;LDM_Lys3h
131_A2;ctrl
131_A3;ctrl
131_A4;ctrl
131_A5;ctrl
131_A6;ctrl
131_A8;LDM_3h
131_A9;LDM_3h
131_B10;LDM_3h
131_B11;LDM_3h
131_B12;LDM_3h
131_B14;LDM_12h
131_B16;LDM_12h
131_B17;LDM_12h
131_B19;LDM_Lys3h
131_B1;ctrl
131_B20;LDM_Lys3h
131_B21;LDM_Lys3h
131_B22;LDM_Lys3h
131_B23;LDM_Lys3h
131_B3;ctrl
131_B4;ctrl
131_B5;ctrl
131_B6;ctrl
131_B7;LDM_3h
131_B8;LDM_3h
131_B9;LDM_3h
131_C10;LDM_3h
131_C11;LDM_3h
131_C12;LDM_3h
131_C13;LDM_12h
131_C14;LDM_12h
131_C15;LDM_12h
131_C16;LDM_12h
131_C17;LDM_12h
131_C18;LDM_12h
131_C1;ctrl
131_C20;LDM_Lys3h
131_C22;LDM_Lys3h
131_C3;ctrl
131_C4;ctrl
131_C5;ctrl
131_C6;ctrl
131_C7;LDM_3h
131_C8;LDM_3h
131_C9;LDM_3h
131_D11;LDM_3h
131_D12;LDM_3h
131_D13;LDM_12h
131_D14;LDM_12h
131_D15;LDM_12h
131_D16;LDM_12h
131_D17;LDM_12h
131_D18;LDM_12h
131_D20;LDM_Lys3h
131_D21;LDM_Lys3h
131_D22;LDM_Lys3h
131_D2;ctrl
131_D3;ctrl
131_D4;ctrl
131_D5;ctrl
131_D7;LDM_3h
131_D8;LDM_3h
131_D9;LDM_3h
131_E10;LDM_3h
131_E11;LDM_3h
131_E12;LDM_3h
131_E13;LDM_12h
131_E14;LDM_12h
131_E15;LDM_12h
131_E16;LDM_12h
131_E17;LDM_12h
131_E18;LDM_12h
131_E19;LDM_Lys3h
131_E20;LDM_Lys3h
131_E24;LDM_Lys3h
131_E4;ctrl
131_E5;ctrl
131_E6;ctrl
131_E7;LDM_3h
131_E8;LDM_3h
131_E9;LDM_3h
131_F10;LDM_3h
131_F11;LDM_3h
131_F12;LDM_3h
131_F13;LDM_12h
131_F14;LDM_12h
131_F15;LDM_12h
131_F16;LDM_12h
131_F17;LDM_12h
131_F18;LDM_12h
131_F19;LDM_Lys3h
131_F20;LDM_Lys3h
131_F22;LDM_Lys3h
131_F23;LDM_Lys3h
131_F24;LDM_Lys3h
131_F3;ctrl
131_F4;ctrl
131_F6;ctrl
131_F7;LDM_3h
131_F8;LDM_3h
131_F9;LDM_3h
131_G10;LDM_3h
131_G11;LDM_3h
131_G12;LDM_3h
131_G13;LDM_12h
131_G14;LDM_12h
131_G15;LDM_12h
131_G16;LDM_12h
131_G17;LDM_12h
131_G18;LDM_12h
131_G1;ctrl
131_G20;LDM_Lys3h
131_G21;LDM_Lys3h
131_G22;LDM_Lys3h
131_G24;LDM_Lys3h
131_G2;ctrl
131_G5;ctrl
131_G6;ctrl
131_G8;LDM_3h
131_G9;LDM_3h
131_H10;LDM_3h
131_H11;LDM_3h
131_H12;LDM_3h
131_H13;LDM_12h
131_H14;LDM_12h
131_H15;LDM_12h
131_H16;LDM_12h
131_H17;LDM_12h
131_H18;LDM_12h
131_H19;LDM_Lys3h
131_H1;ctrl
131_H20;LDM_Lys3h
131_H21;LDM_Lys3h
131_H3;ctrl
131_H5;ctrl
131_H6;ctrl
131_H8;LDM_3h
131_H9;LDM_3h
131_I10;LDM_3h
131_I11;LDM_3h
131_I12;LDM_3h
131_I14;LDM_12h
131_I15;LDM_12h
131_I16;LDM_12h
131_I17;LDM_12h
131_I18;LDM_12h
131_I23;LDM_Lys3h
131_I24;LDM_Lys3h
131_I3;ctrl
131_I4;ctrl
131_I5;ctrl
131_I6;ctrl
131_I7;LDM_3h
131_I8;LDM_3h
131_I9;LDM_3h
131_J10;LDM_3h
131_J13;LDM_12h
131_J14;LDM_12h
131_J15;LDM_12h
131_J16;LDM_12h
131_J17;LDM_12h
131_J18;LDM_12h
131_J1;ctrl
131_J20;LDM_Lys3h
131_J21;LDM_Lys3h
131_J23;LDM_Lys3h
131_J24;LDM_Lys3h
131_J4;ctrl
131_J6;ctrl
131_J7;LDM_3h
131_J8;LDM_3h
131_J9;LDM_3h
131_K10;LDM_3h
131_K11;LDM_3h
131_K13;LDM_12h
131_K14;LDM_12h
131_K15;LDM_12h
131_K16;LDM_12h
131_K18;LDM_12h
131_K19;LDM_Lys3h
131_K1;ctrl
131_K20;LDM_Lys3h
131_K21;LDM_Lys3h
131_K24;LDM_Lys3h
131_K4;ctrl
131_K5;ctrl
131_K6;ctrl
131_K7;LDM_3h
131_K8;LDM_3h
131_K9;LDM_3h
131_L11;LDM_3h
131_L12;LDM_3h
131_L13;LDM_12h
131_L15;LDM_12h
131_L16;LDM_12h
131_L1;ctrl
131_L22;LDM_Lys3h
131_L4;ctrl
131_L5;ctrl
131_L6;ctrl
131_L7;LDM_3h
131_L8;LDM_3h
131_M10;LDM_3h
131_M11;LDM_3h
131_M13;LDM_12h
131_M15;LDM_12h
131_M16;LDM_12h
131_M17;LDM_12h
131_M18;LDM_12h
131_M19;LDM_Lys3h
131_M1;ctrl
131_M21;LDM_Lys3h
131_M22;LDM_Lys3h
131_M2;ctrl
131_M5;ctrl
131_M6;ctrl
131_M7;LDM_3h
131_M8;LDM_3h
131_M9;LDM_3h
131_N10;LDM_3h
131_N12;LDM_3h
131_N13;LDM_12h
131_N14;LDM_12h
131_N15;LDM_12h
131_N16;LDM_12h
131_N17;LDM_12h
131_N19;LDM_Lys3h
131_N1;ctrl
131_N20;LDM_Lys3h
131_N21;LDM_Lys3h
131_N22;LDM_Lys3h
131_N23;LDM_Lys3h
131_N24;LDM_Lys3h
131_N3;ctrl
131_N4;ctrl
131_N5;ctrl
131_N6;ctrl
131_N7;LDM_3h
131_N8;LDM_3h
131_N9;LDM_3h
131_O10;LDM_3h
131_O11;LDM_3h
131_O13;LDM_12h
131_O14;LDM_12h
131_O15;LDM_12h
131_O16;LDM_12h
131_O17;LDM_12h
131_O18;LDM_12h
131_O19;LDM_Lys3h
131_O1;ctrl
131_O20;LDM_Lys3h
131_O24;LDM_Lys3h
131_O2;ctrl
131_O3;ctrl
131_O4;ctrl
131_O5;ctrl
131_O7;LDM_3h
131_O8;LDM_3h
131_O9;LDM_3h
131_P10;LDM_3h
131_P11;LDM_3h
131_P12;LDM_3h
131_P13;LDM_12h
131_P14;LDM_12h
131_P15;LDM_12h
131_P16;LDM_12h
131_P17;LDM_12h
131_P18;LDM_12h
131_P19;LDM_Lys3h
131_P1;ctrl
131_P21;LDM_Lys3h
131_P2;ctrl
131_P3;ctrl
131_P5;ctrl
131_P6;ctrl
131_P7;LDM_3h
131_P8;LDM_3h
132_A10;PTG_3h
132_A11;PTG_3h
132_A12;PTG_3h
132_A13;PTG_12h
132_A14;PTG_12h
132_A15;PTG_12h
132_A16;PTG_12h
132_A17;PTG_12h
132_A18;PTG_12h
132_A19;PTG_Lys3h
132_A1;LPS
132_A21;PTG_Lys3h
132_A4;LPS
132_A6;LPS
132_A7;PTG_3h
132_A8;PTG_3h
132_B10;PTG_3h
132_B11;PTG_3h
132_B12;PTG_3h
132_B13;PTG_12h
132_B14;PTG_12h
132_B15;PTG_12h
132_B16;PTG_12h
132_B17;PTG_12h
132_B18;PTG_12h
132_B19;PTG_Lys3h
132_B1;LPS
132_B20;PTG_Lys3h
132_B22;PTG_Lys3h
132_B23;PTG_Lys3h
132_B3;LPS
132_B4;LPS
132_B5;LPS
132_B6;LPS
132_B7;PTG_3h
132_B8;PTG_3h
132_B9;PTG_3h
132_C10;PTG_3h
132_C11;PTG_3h
132_C12;PTG_3h
132_C13;PTG_12h
132_C14;PTG_12h
132_C15;PTG_12h
132_C16;PTG_12h
132_C17;PTG_12h
132_C18;PTG_12h
132_C19;PTG_Lys3h
132_C1;LPS
132_C21;PTG_Lys3h
132_C22;PTG_Lys3h
132_C23;PTG_Lys3h
132_C24;PTG_Lys3h
132_C4;LPS
132_C6;LPS
132_C8;PTG_3h
132_C9;PTG_3h
132_D10;PTG_3h
132_D11;PTG_3h
132_D12;PTG_3h
132_D13;PTG_12h
132_D14;PTG_12h
132_D15;PTG_12h
132_D16;PTG_12h
132_D17;PTG_12h
132_D19;PTG_Lys3h
132_D1;LPS
132_D20;PTG_Lys3h
132_D22;PTG_Lys3h
132_D4;LPS
132_D5;LPS
132_D6;LPS
132_D7;PTG_3h
132_D8;PTG_3h
132_D9;PTG_3h
132_E10;PTG_3h
132_E11;PTG_3h
132_E12;PTG_3h
132_E13;PTG_12h
132_E14;PTG_12h
132_E15;PTG_12h
132_E16;PTG_12h
132_E17;PTG_12h
132_E18;PTG_12h
132_E1;LPS
132_E20;PTG_Lys3h
132_E21;PTG_Lys3h
132_E23;PTG_Lys3h
132_E24;PTG_Lys3h
132_E2;LPS
132_E3;LPS
132_E6;LPS
132_E7;PTG_3h
132_E9;PTG_3h
132_F10;PTG_3h
132_F11;PTG_3h
132_F13;PTG_12h
132_F14;PTG_12h
132_F15;PTG_12h
132_F16;PTG_12h
132_F17;PTG_12h
132_F18;PTG_12h
132_F1;LPS
132_F20;PTG_Lys3h
132_F21;PTG_Lys3h
132_F22;PTG_Lys3h
132_F23;PTG_Lys3h
132_F24;PTG_Lys3h
132_F2;LPS
132_F3;LPS
132_F8;PTG_3h
132_G10;PTG_3h
132_G11;PTG_3h
132_G12;PTG_3h
132_G13;PTG_12h
132_G14;PTG_12h
132_G15;PTG_12h
132_G16;PTG_12h
132_G17;PTG_12h
132_G18;PTG_12h
132_G19;PTG_Lys3h
132_G1;LPS
132_G20;PTG_Lys3h
132_G23;PTG_Lys3h
132_G24;PTG_Lys3h
132_G4;LPS
132_G5;LPS
132_G6;LPS
132_G7;PTG_3h
132_G8;PTG_3h
132_H10;PTG_3h
132_H12;PTG_3h
132_H13;PTG_12h
132_H14;PTG_12h
132_H15;PTG_12h
132_H16;PTG_12h
132_H17;PTG_12h
132_H18;PTG_12h
132_H19;PTG_Lys3h
132_H1;LPS
132_H21;PTG_Lys3h
132_H22;PTG_Lys3h
132_H2;LPS
132_H3;LPS
132_H5;LPS
132_H7;PTG_3h
132_H8;PTG_3h
132_H9;PTG_3h
132_I10;PTG_3h
132_I11;PTG_3h
132_I13;PTG_12h
132_I15;PTG_12h
132_I16;PTG_12h
132_I17;PTG_12h
132_I18;PTG_12h
132_I19;PTG_Lys3h
132_I1;LPS
132_I20;PTG_Lys3h
132_I22;PTG_Lys3h
132_I23;PTG_Lys3h
132_I3;LPS
132_I4;LPS
132_I5;LPS
132_I6;LPS
132_I7;PTG_3h
132_I9;PTG_3h
132_J10;PTG_3h
132_J11;PTG_3h
132_J12;PTG_3h
132_J13;PTG_12h
132_J14;PTG_12h
132_J15;PTG_12h
132_J16;PTG_12h
132_J17;PTG_12h
132_J18;PTG_12h
132_J21;PTG_Lys3h
132_J22;PTG_Lys3h
132_J23;PTG_Lys3h
132_J2;LPS
132_J3;LPS
132_J5;LPS
132_J7;PTG_3h
132_J8;PTG_3h
132_J9;PTG_3h
132_K10;PTG_3h
132_K11;PTG_3h
132_K12;PTG_3h
132_K13;PTG_12h
132_K14;PTG_12h
132_K15;PTG_12h
132_K16;PTG_12h
132_K17;PTG_12h
132_K18;PTG_12h
132_K19;PTG_Lys3h
132_K1;LPS
132_K20;PTG_Lys3h
132_K21;PTG_Lys3h
132_K23;PTG_Lys3h
132_K24;PTG_Lys3h
132_K3;LPS
132_K4;LPS
132_K5;LPS
132_K7;PTG_3h
132_K8;PTG_3h
132_K9;PTG_3h
132_L10;PTG_3h
132_L11;PTG_3h
132_L12;PTG_3h
132_L13;PTG_12h
132_L14;PTG_12h
132_L15;PTG_12h
132_L17;PTG_12h
132_L18;PTG_12h
132_L19;PTG_Lys3h
132_L21;PTG_Lys3h
132_L22;PTG_Lys3h
132_L2;LPS
132_L3;LPS
132_L5;LPS
132_L7;PTG_3h
132_L9;PTG_3h
132_M10;PTG_3h
132_M11;PTG_3h
132_M12;PTG_3h
132_M13;PTG_12h
132_M14;PTG_12h
132_M15;PTG_12h
132_M16;PTG_12h
132_M18;PTG_12h
132_M20;PTG_Lys3h
132_M21;PTG_Lys3h
132_M22;PTG_Lys3h
132_M23;PTG_Lys3h
132_M24;PTG_Lys3h
132_M3;LPS
132_M5;LPS
132_M7;PTG_3h
132_M8;PTG_3h
132_M9;PTG_3h
132_N10;PTG_3h
132_N11;PTG_3h
132_N12;PTG_3h
132_N13;PTG_12h
132_N14;PTG_12h
132_N15;PTG_12h
132_N16;PTG_12h
132_N17;PTG_12h
132_N18;PTG_12h
132_N21;PTG_Lys3h
132_N22;PTG_Lys3h
132_N23;PTG_Lys3h
132_N24;PTG_Lys3h
132_N5;LPS
132_N7;PTG_3h
132_N9;PTG_3h
132_O10;PTG_3h
132_O11;PTG_3h
132_O12;PTG_3h
132_O13;PTG_12h
132_O14;PTG_12h
132_O15;PTG_12h
132_O16;PTG_12h
132_O17;PTG_12h
132_O18;PTG_12h
132_O20;PTG_Lys3h
132_O21;PTG_Lys3h
132_O23;PTG_Lys3h
132_O2;LPS
132_O4;LPS
132_O5;LPS
132_O7;PTG_3h
132_O8;PTG_3h
132_O9;PTG_3h
132_P10;PTG_3h
132_P11;PTG_3h
132_P12;PTG_3h
132_P13;PTG_12h
132_P14;PTG_12h
132_P15;PTG_12h
132_P17;PTG_12h
132_P18;PTG_12h
132_P19;PTG_Lys3h
132_P20;PTG_Lys3h
132_P21;PTG_Lys3h
132_P4;LPS
132_P5;LPS
132_P6;LPS
132_P7;PTG_3h
132_P8;PTG_3h
132_P9;PTG_3h