"","cellname","celltype"
"1","131_M5","ctrl"
"2","131_K1","ctrl"
"3","131_N3","ctrl"
"4","131_N4","ctrl"
"5","131_N5","ctrl"
"6","131_N6","ctrl"
"7","131_G1","ctrl"
"8","131_C6","ctrl"
"9","131_C5","ctrl"
"10","131_C4","ctrl"
"11","131_C3","ctrl"
"12","131_M1","ctrl"
"13","131_G2","ctrl"
"14","131_G5","ctrl"
"15","131_G6","ctrl"
"16","131_O1","ctrl"
"17","131_K4","ctrl"
"18","131_J6","ctrl"
"19","131_K5","ctrl"
"20","131_D2","ctrl"
"21","131_E6","ctrl"
"22","131_E5","ctrl"
"23","131_E4","ctrl"
"24","131_L5","ctrl"
"25","131_L4","ctrl"
"26","131_L1","ctrl"
"27","131_M2","ctrl"
"28","131_M6","ctrl"
"29","131_F3","ctrl"
"30","131_F4","ctrl"
"31","131_F6","ctrl"
"32","131_N1","ctrl"
"33","131_D5","ctrl"
"34","131_D4","ctrl"
"35","131_D3","ctrl"
"36","131_K6","ctrl"
"37","131_J4","ctrl"
"38","131_C1","ctrl"
"39","131_O3","ctrl"
"40","131_H6","ctrl"
"41","131_P1","ctrl"
"42","131_I6","ctrl"
"43","131_A6","ctrl"
"44","131_A5","ctrl"
"45","131_A4","ctrl"
"46","131_A3","ctrl"
"47","131_H5","ctrl"
"48","131_A2","ctrl"
"49","131_A1","ctrl"
"50","131_P2","ctrl"
"51","131_P3","ctrl"
"52","131_P5","ctrl"
"53","131_P6","ctrl"
"54","131_I4","ctrl"
"55","131_I3","ctrl"
"56","131_I5","ctrl"
"57","131_O2","ctrl"
"58","131_H3","ctrl"
"59","131_L6","ctrl"
"60","131_B4","ctrl"
"61","131_B3","ctrl"
"62","131_B5","ctrl"
"63","131_B1","ctrl"
"64","131_J1","ctrl"
"65","131_B6","ctrl"
"66","131_O5","ctrl"
"67","131_O4","ctrl"
"68","131_H1","ctrl"
"69","131_G24","LDM_Lys3h"
"70","131_F20","LDM_Lys3h"
"71","131_L22","LDM_Lys3h"
"72","131_J24","LDM_Lys3h"
"73","131_F19","LDM_Lys3h"
"74","131_G22","LDM_Lys3h"
"75","131_G21","LDM_Lys3h"
"76","131_H20","LDM_Lys3h"
"77","131_F23","LDM_Lys3h"
"78","131_K19","LDM_Lys3h"
"79","131_J23","LDM_Lys3h"
"80","131_J21","LDM_Lys3h"
"81","131_G20","LDM_Lys3h"
"82","131_J20","LDM_Lys3h"
"83","131_H19","LDM_Lys3h"
"84","131_H21","LDM_Lys3h"
"85","131_K24","LDM_Lys3h"
"86","131_K21","LDM_Lys3h"
"87","131_K20","LDM_Lys3h"
"88","131_F22","LDM_Lys3h"
"89","131_F24","LDM_Lys3h"
"90","131_I23","LDM_Lys3h"
"91","131_C20","LDM_Lys3h"
"92","131_D21","LDM_Lys3h"
"93","131_D20","LDM_Lys3h"
"94","131_N20","LDM_Lys3h"
"95","131_N21","LDM_Lys3h"
"96","131_N22","LDM_Lys3h"
"97","131_N23","LDM_Lys3h"
"98","131_O24","LDM_Lys3h"
"99","131_N24","LDM_Lys3h"
"100","131_B19","LDM_Lys3h"
"101","131_B20","LDM_Lys3h"
"102","131_B21","LDM_Lys3h"
"103","131_B22","LDM_Lys3h"
"104","131_O19","LDM_Lys3h"
"105","131_B23","LDM_Lys3h"
"106","131_C22","LDM_Lys3h"
"107","131_P19","LDM_Lys3h"
"108","131_D22","LDM_Lys3h"
"109","131_O20","LDM_Lys3h"
"110","131_M19","LDM_Lys3h"
"111","131_E24","LDM_Lys3h"
"112","131_P21","LDM_Lys3h"
"113","131_I24","LDM_Lys3h"
"114","131_M22","LDM_Lys3h"
"115","131_A22","LDM_Lys3h"
"116","131_E20","LDM_Lys3h"
"117","131_N19","LDM_Lys3h"
"118","131_E19","LDM_Lys3h"
"119","131_M21","LDM_Lys3h"
"120","131_O7","LDM_3h"
"121","131_P8","LDM_3h"
"122","131_P7","LDM_3h"
"123","131_P12","LDM_3h"
"124","131_P10","LDM_3h"
"125","131_I7","LDM_3h"
"126","131_I8","LDM_3h"
"127","131_I9","LDM_3h"
"128","131_J10","LDM_3h"
"129","131_P11","LDM_3h"
"130","131_O8","LDM_3h"
"131","131_O9","LDM_3h"
"132","131_M10","LDM_3h"
"133","131_J8","LDM_3h"
"134","131_L8","LDM_3h"
"135","131_L7","LDM_3h"
"136","131_L12","LDM_3h"
"137","131_M7","LDM_3h"
"138","131_M8","LDM_3h"
"139","131_M9","LDM_3h"
"140","131_N10","LDM_3h"
"141","131_N12","LDM_3h"
"142","131_L11","LDM_3h"
"143","131_J7","LDM_3h"
"144","131_K8","LDM_3h"
"145","131_K11","LDM_3h"
"146","131_N7","LDM_3h"
"147","131_N8","LDM_3h"
"148","131_M11","LDM_3h"
"149","131_N9","LDM_3h"
"150","131_O10","LDM_3h"
"151","131_O11","LDM_3h"
"152","131_K10","LDM_3h"
"153","131_J9","LDM_3h"
"154","131_K7","LDM_3h"
"155","131_A10","LDM_3h"
"156","131_K9","LDM_3h"
"157","131_G11","LDM_3h"
"158","131_B9","LDM_3h"
"159","131_C10","LDM_3h"
"160","131_C11","LDM_3h"
"161","131_C12","LDM_3h"
"162","131_G12","LDM_3h"
"163","131_D7","LDM_3h"
"164","131_G10","LDM_3h"
"165","131_F9","LDM_3h"
"166","131_F8","LDM_3h"
"167","131_F7","LDM_3h"
"168","131_F12","LDM_3h"
"169","131_F11","LDM_3h"
"170","131_F10","LDM_3h"
"171","131_E9","LDM_3h"
"172","131_C7","LDM_3h"
"173","131_C8","LDM_3h"
"174","131_C9","LDM_3h"
"175","131_E8","LDM_3h"
"176","131_E7","LDM_3h"
"177","131_D11","LDM_3h"
"178","131_D12","LDM_3h"
"179","131_E12","LDM_3h"
"180","131_E11","LDM_3h"
"181","131_E10","LDM_3h"
"182","131_D9","LDM_3h"
"183","131_B8","LDM_3h"
"184","131_B7","LDM_3h"
"185","131_D8","LDM_3h"
"186","131_B10","LDM_3h"
"187","131_H9","LDM_3h"
"188","131_H8","LDM_3h"
"189","131_A8","LDM_3h"
"190","131_I12","LDM_3h"
"191","131_A11","LDM_3h"
"192","131_I11","LDM_3h"
"193","131_H12","LDM_3h"
"194","131_I10","LDM_3h"
"195","131_H10","LDM_3h"
"196","131_G9","LDM_3h"
"197","131_G8","LDM_3h"
"198","131_B11","LDM_3h"
"199","131_B12","LDM_3h"
"200","131_A9","LDM_3h"
"201","131_H11","LDM_3h"
"202","131_A18","LDM_12h"
"203","131_A17","LDM_12h"
"204","131_A15","LDM_12h"
"205","131_B16","LDM_12h"
"206","131_D16","LDM_12h"
"207","131_D14","LDM_12h"
"208","131_D15","LDM_12h"
"209","131_A14","LDM_12h"
"210","131_A13","LDM_12h"
"211","131_D17","LDM_12h"
"212","131_D18","LDM_12h"
"213","131_D13","LDM_12h"
"214","131_C18","LDM_12h"
"215","131_I18","LDM_12h"
"216","131_B14","LDM_12h"
"217","131_B17","LDM_12h"
"218","131_P13","LDM_12h"
"219","131_P14","LDM_12h"
"220","131_P15","LDM_12h"
"221","131_P16","LDM_12h"
"222","131_C13","LDM_12h"
"223","131_P17","LDM_12h"
"224","131_C17","LDM_12h"
"225","131_C14","LDM_12h"
"226","131_O18","LDM_12h"
"227","131_O17","LDM_12h"
"228","131_O16","LDM_12h"
"229","131_O15","LDM_12h"
"230","131_O14","LDM_12h"
"231","131_O13","LDM_12h"
"232","131_C16","LDM_12h"
"233","131_C15","LDM_12h"
"234","131_I17","LDM_12h"
"235","131_P18","LDM_12h"
"236","131_N16","LDM_12h"
"237","131_G16","LDM_12h"
"238","131_G17","LDM_12h"
"239","131_K18","LDM_12h"
"240","131_K16","LDM_12h"
"241","131_K15","LDM_12h"
"242","131_K14","LDM_12h"
"243","131_K13","LDM_12h"
"244","131_G18","LDM_12h"
"245","131_H13","LDM_12h"
"246","131_H14","LDM_12h"
"247","131_H15","LDM_12h"
"248","131_H16","LDM_12h"
"249","131_H17","LDM_12h"
"250","131_H18","LDM_12h"
"251","131_J18","LDM_12h"
"252","131_J17","LDM_12h"
"253","131_J15","LDM_12h"
"254","131_J14","LDM_12h"
"255","131_J13","LDM_12h"
"256","131_I14","LDM_12h"
"257","131_I15","LDM_12h"
"258","131_I16","LDM_12h"
"259","131_N17","LDM_12h"
"260","131_G15","LDM_12h"
"261","131_G14","LDM_12h"
"262","131_J16","LDM_12h"
"263","131_E14","LDM_12h"
"264","131_N14","LDM_12h"
"265","131_N13","LDM_12h"
"266","131_E13","LDM_12h"
"267","131_E15","LDM_12h"
"268","131_E16","LDM_12h"
"269","131_E17","LDM_12h"
"270","131_N15","LDM_12h"
"271","131_M18","LDM_12h"
"272","131_M17","LDM_12h"
"273","131_M16","LDM_12h"
"274","131_E18","LDM_12h"
"275","131_M13","LDM_12h"
"276","131_F18","LDM_12h"
"277","131_L13","LDM_12h"
"278","131_M15","LDM_12h"
"279","131_L16","LDM_12h"
"280","131_F17","LDM_12h"
"281","131_L15","LDM_12h"
"282","131_F16","LDM_12h"
"283","131_F15","LDM_12h"
"284","131_F14","LDM_12h"
"285","131_F13","LDM_12h"
"286","131_G13","LDM_12h"
"287","132_D22","PTG_Lys3h"
"288","132_D20","PTG_Lys3h"
"289","132_D19","PTG_Lys3h"
"290","132_K19","PTG_Lys3h"
"291","132_K20","PTG_Lys3h"
"292","132_K21","PTG_Lys3h"
"293","132_K23","PTG_Lys3h"
"294","132_J23","PTG_Lys3h"
"295","132_G19","PTG_Lys3h"
"296","132_C24","PTG_Lys3h"
"297","132_C23","PTG_Lys3h"
"298","132_C22","PTG_Lys3h"
"299","132_C21","PTG_Lys3h"
"300","132_L19","PTG_Lys3h"
"301","132_J22","PTG_Lys3h"
"302","132_C19","PTG_Lys3h"
"303","132_K24","PTG_Lys3h"
"304","132_J21","PTG_Lys3h"
"305","132_G24","PTG_Lys3h"
"306","132_I22","PTG_Lys3h"
"307","132_L21","PTG_Lys3h"
"308","132_G20","PTG_Lys3h"
"309","132_F24","PTG_Lys3h"
"310","132_F23","PTG_Lys3h"
"311","132_F22","PTG_Lys3h"
"312","132_F21","PTG_Lys3h"
"313","132_F20","PTG_Lys3h"
"314","132_G23","PTG_Lys3h"
"315","132_H19","PTG_Lys3h"
"316","132_H21","PTG_Lys3h"
"317","132_H22","PTG_Lys3h"
"318","132_E24","PTG_Lys3h"
"319","132_E23","PTG_Lys3h"
"320","132_E21","PTG_Lys3h"
"321","132_E20","PTG_Lys3h"
"322","132_I19","PTG_Lys3h"
"323","132_I20","PTG_Lys3h"
"324","132_I23","PTG_Lys3h"
"325","132_L22","PTG_Lys3h"
"326","132_B23","PTG_Lys3h"
"327","132_B20","PTG_Lys3h"
"328","132_B19","PTG_Lys3h"
"329","132_N22","PTG_Lys3h"
"330","132_B22","PTG_Lys3h"
"331","132_N23","PTG_Lys3h"
"332","132_N24","PTG_Lys3h"
"333","132_A21","PTG_Lys3h"
"334","132_A19","PTG_Lys3h"
"335","132_O21","PTG_Lys3h"
"336","132_P19","PTG_Lys3h"
"337","132_O23","PTG_Lys3h"
"338","132_M24","PTG_Lys3h"
"339","132_M23","PTG_Lys3h"
"340","132_M22","PTG_Lys3h"
"341","132_M21","PTG_Lys3h"
"342","132_M20","PTG_Lys3h"
"343","132_P21","PTG_Lys3h"
"344","132_O20","PTG_Lys3h"
"345","132_P20","PTG_Lys3h"
"346","132_N21","PTG_Lys3h"
"347","132_I11","PTG_3h"
"348","132_I10","PTG_3h"
"349","132_H9","PTG_3h"
"350","132_H8","PTG_3h"
"351","132_O12","PTG_3h"
"352","132_M11","PTG_3h"
"353","132_O7","PTG_3h"
"354","132_O8","PTG_3h"
"355","132_O11","PTG_3h"
"356","132_H12","PTG_3h"
"357","132_H10","PTG_3h"
"358","132_G8","PTG_3h"
"359","132_G7","PTG_3h"
"360","132_O9","PTG_3h"
"361","132_P10","PTG_3h"
"362","132_P11","PTG_3h"
"363","132_P12","PTG_3h"
"364","132_P7","PTG_3h"
"365","132_G12","PTG_3h"
"366","132_H7","PTG_3h"
"367","132_O10","PTG_3h"
"368","132_J12","PTG_3h"
"369","132_I7","PTG_3h"
"370","132_M10","PTG_3h"
"371","132_L9","PTG_3h"
"372","132_L7","PTG_3h"
"373","132_M7","PTG_3h"
"374","132_M8","PTG_3h"
"375","132_M9","PTG_3h"
"376","132_L12","PTG_3h"
"377","132_L11","PTG_3h"
"378","132_L10","PTG_3h"
"379","132_K9","PTG_3h"
"380","132_K8","PTG_3h"
"381","132_K7","PTG_3h"
"382","132_N9","PTG_3h"
"383","132_N10","PTG_3h"
"384","132_K12","PTG_3h"
"385","132_N12","PTG_3h"
"386","132_K11","PTG_3h"
"387","132_K10","PTG_3h"
"388","132_J9","PTG_3h"
"389","132_J8","PTG_3h"
"390","132_J7","PTG_3h"
"391","132_N7","PTG_3h"
"392","132_M12","PTG_3h"
"393","132_J11","PTG_3h"
"394","132_J10","PTG_3h"
"395","132_I9","PTG_3h"
"396","132_N11","PTG_3h"
"397","132_G11","PTG_3h"
"398","132_A11","PTG_3h"
"399","132_F8","PTG_3h"
"400","132_E12","PTG_3h"
"401","132_E11","PTG_3h"
"402","132_E10","PTG_3h"
"403","132_D9","PTG_3h"
"404","132_D8","PTG_3h"
"405","132_D7","PTG_3h"
"406","132_D12","PTG_3h"
"407","132_G10","PTG_3h"
"408","132_D11","PTG_3h"
"409","132_D10","PTG_3h"
"410","132_C9","PTG_3h"
"411","132_C8","PTG_3h"
"412","132_E7","PTG_3h"
"413","132_C12","PTG_3h"
"414","132_C10","PTG_3h"
"415","132_B9","PTG_3h"
"416","132_B8","PTG_3h"
"417","132_B7","PTG_3h"
"418","132_B12","PTG_3h"
"419","132_B11","PTG_3h"
"420","132_B10","PTG_3h"
"421","132_A8","PTG_3h"
"422","132_A7","PTG_3h"
"423","132_A12","PTG_3h"
"424","132_P8","PTG_3h"
"425","132_A10","PTG_3h"
"426","132_C11","PTG_3h"
"427","132_E9","PTG_3h"
"428","132_P9","PTG_3h"
"429","132_F10","PTG_3h"
"430","132_F11","PTG_3h"
"431","132_D15","PTG_12h"
"432","132_C16","PTG_12h"
"433","132_O16","PTG_12h"
"434","132_O17","PTG_12h"
"435","132_O18","PTG_12h"
"436","132_C17","PTG_12h"
"437","132_C18","PTG_12h"
"438","132_G16","PTG_12h"
"439","132_L18","PTG_12h"
"440","132_L17","PTG_12h"
"441","132_L15","PTG_12h"
"442","132_L14","PTG_12h"
"443","132_L13","PTG_12h"
"444","132_F17","PTG_12h"
"445","132_F16","PTG_12h"
"446","132_F15","PTG_12h"
"447","132_F14","PTG_12h"
"448","132_H13","PTG_12h"
"449","132_H14","PTG_12h"
"450","132_D13","PTG_12h"
"451","132_D14","PTG_12h"
"452","132_C15","PTG_12h"
"453","132_C14","PTG_12h"
"454","132_C13","PTG_12h"
"455","132_O15","PTG_12h"
"456","132_N17","PTG_12h"
"457","132_N16","PTG_12h"
"458","132_N15","PTG_12h"
"459","132_N14","PTG_12h"
"460","132_N13","PTG_12h"
"461","132_B18","PTG_12h"
"462","132_B16","PTG_12h"
"463","132_B15","PTG_12h"
"464","132_B14","PTG_12h"
"465","132_N18","PTG_12h"
"466","132_B13","PTG_12h"
"467","132_G17","PTG_12h"
"468","132_F18","PTG_12h"
"469","132_O13","PTG_12h"
"470","132_O14","PTG_12h"
"471","132_M18","PTG_12h"
"472","132_M16","PTG_12h"
"473","132_M15","PTG_12h"
"474","132_M14","PTG_12h"
"475","132_M13","PTG_12h"
"476","132_G18","PTG_12h"
"477","132_D16","PTG_12h"
"478","132_B17","PTG_12h"
"479","132_K17","PTG_12h"
"480","132_K18","PTG_12h"
"481","132_F13","PTG_12h"
"482","132_P14","PTG_12h"
"483","132_E13","PTG_12h"
"484","132_E14","PTG_12h"
"485","132_E15","PTG_12h"
"486","132_P15","PTG_12h"
"487","132_P17","PTG_12h"
"488","132_P18","PTG_12h"
"489","132_A13","PTG_12h"
"490","132_E16","PTG_12h"
"491","132_E17","PTG_12h"
"492","132_E18","PTG_12h"
"493","132_G15","PTG_12h"
"494","132_G14","PTG_12h"
"495","132_I18","PTG_12h"
"496","132_I17","PTG_12h"
"497","132_I16","PTG_12h"
"498","132_I15","PTG_12h"
"499","132_I13","PTG_12h"
"500","132_G13","PTG_12h"
"501","132_J14","PTG_12h"
"502","132_J15","PTG_12h"
"503","132_J13","PTG_12h"
"504","132_J17","PTG_12h"
"505","132_K16","PTG_12h"
"506","132_K15","PTG_12h"
"507","132_K14","PTG_12h"
"508","132_K13","PTG_12h"
"509","132_J16","PTG_12h"
"510","132_A18","PTG_12h"
"511","132_A17","PTG_12h"
"512","132_A16","PTG_12h"
"513","132_D17","PTG_12h"
"514","132_H15","PTG_12h"
"515","132_A15","PTG_12h"
"516","132_A14","PTG_12h"
"517","132_P13","PTG_12h"
"518","132_J18","PTG_12h"
"519","132_H18","PTG_12h"
"520","132_H16","PTG_12h"
"521","132_H17","PTG_12h"
"522","132_A4","LPS"
"523","132_O5","LPS"
"524","132_P6","LPS"
"525","132_P5","LPS"
"526","132_P4","LPS"
"527","132_O4","LPS"
"528","132_N5","LPS"
"529","132_O2","LPS"
"530","132_G1","LPS"
"531","132_F3","LPS"
"532","132_A1","LPS"
"533","132_A6","LPS"
"534","132_H3","LPS"
"535","132_L2","LPS"
"536","132_B3","LPS"
"537","132_D5","LPS"
"538","132_D6","LPS"
"539","132_J5","LPS"
"540","132_J3","LPS"
"541","132_J2","LPS"
"542","132_H1","LPS"
"543","132_I6","LPS"
"544","132_D4","LPS"
"545","132_I5","LPS"
"546","132_I3","LPS"
"547","132_I1","LPS"
"548","132_E1","LPS"
"549","132_E2","LPS"
"550","132_E3","LPS"
"551","132_E6","LPS"
"552","132_H5","LPS"
"553","132_I4","LPS"
"554","132_D1","LPS"
"555","132_K1","LPS"
"556","132_K3","LPS"
"557","132_B4","LPS"
"558","132_B5","LPS"
"559","132_B6","LPS"
"560","132_M5","LPS"
"561","132_M3","LPS"
"562","132_F2","LPS"
"563","132_F1","LPS"
"564","132_G4","LPS"
"565","132_G5","LPS"
"566","132_G6","LPS"
"567","132_L5","LPS"
"568","132_L3","LPS"
"569","132_H2","LPS"
"570","132_C1","LPS"
"571","132_C4","LPS"
"572","132_C6","LPS"
"573","132_K4","LPS"
"574","132_B1","LPS"
"575","132_K5","LPS"
